Time,Person In,Person Out
2022/09/02 11:52:05,,1
2022/09/02 11:52:32,1,
2022/09/02 11:52:32,1,
2022/09/02 11:52:37,,1
2022/09/02 11:52:37,1,
2022/09/02 11:52:38,1,
2022/09/02 11:52:39,,1
2022/09/02 11:53:08,1,
2022/09/02 11:53:26,,1
2022/09/02 11:54:19,1,
2022/09/02 11:54:48,,1
2022/09/02 11:54:49,,1
2022/09/02 11:55:14,,1
2022/09/02 11:55:44,,1
2022/09/02 11:56:17,1,
2022/09/02 11:56:18,1,
2022/09/02 11:56:18,,1
2022/09/02 11:56:19,1,
2022/09/02 11:56:20,1,
2022/09/02 11:56:21,1,
2022/09/02 11:56:33,1,
2022/09/02 11:56:49,,1
2022/09/02 11:57:09,1,
2022/09/02 11:57:09,,1
2022/09/02 11:57:10,1,
2022/09/02 11:57:11,1,
2022/09/02 11:57:16,1,
2022/09/02 11:57:59,,1
2022/09/02 11:58:24,,1
2022/09/02 11:58:26,1,
2022/09/02 11:58:27,1,
2022/09/02 11:58:45,,1
2022/09/02 11:58:46,,1
2022/09/02 11:58:48,,1
2022/09/02 11:58:52,,1
2022/09/02 11:59:36,1,
2022/09/02 11:59:41,1,
2022/09/02 12:00:26,1,
2022/09/02 12:00:27,1,
2022/09/02 12:01:00,,1
2022/09/02 12:01:01,,1
2022/09/02 12:01:01,,1
2022/09/02 12:01:02,1,
2022/09/02 12:01:23,1,
2022/09/02 12:01:24,,1
2022/09/02 12:01:25,1,
2022/09/02 12:01:26,1,
2022/09/02 12:01:28,1,
2022/09/02 12:01:50,,1
2022/09/02 12:02:11,,1
2022/09/02 12:02:44,1,
2022/09/02 12:02:45,1,
2022/09/02 12:02:46,1,
2022/09/02 12:02:46,,1
2022/09/02 12:02:47,1,
2022/09/02 12:02:47,1,
2022/09/02 12:02:47,,1
2022/09/02 12:02:48,,1
2022/09/02 12:02:49,,1
2022/09/02 12:02:50,1,
2022/09/02 12:03:17,1,
2022/09/02 12:03:21,1,
2022/09/02 12:03:24,,1
2022/09/02 12:03:24,1,
2022/09/02 12:03:54,,1
2022/09/02 12:03:56,,1
2022/09/02 12:03:58,1,
2022/09/02 12:03:58,1,
2022/09/02 12:04:00,1,
2022/09/02 12:04:00,1,
2022/09/02 12:04:14,,1
2022/09/02 12:04:17,,1
2022/09/02 12:04:19,,1
2022/09/02 12:04:22,1,
2022/09/02 12:04:23,,1
2022/09/02 12:05:02,1,
2022/09/02 12:05:03,1,
2022/09/02 12:06:03,1,
2022/09/02 12:06:05,,1
2022/09/02 12:06:05,,1
2022/09/02 12:06:08,1,
2022/09/02 12:06:13,1,
2022/09/02 12:06:41,,1
2022/09/02 12:06:51,,1
2022/09/02 12:06:55,,1
2022/09/02 12:07:15,1,
2022/09/02 12:07:17,1,
2022/09/02 12:07:22,,1
2022/09/02 12:07:23,,1
2022/09/02 12:07:24,,1
2022/09/02 12:07:25,,1
2022/09/02 12:07:56,1,
2022/09/02 12:08:03,1,
2022/09/02 12:08:12,1,
2022/09/02 12:08:13,,1
2022/09/02 12:08:26,1,
2022/09/02 12:08:31,1,
2022/09/02 12:09:19,,1
2022/09/02 12:09:20,1,
2022/09/02 12:09:52,1,
2022/09/02 12:09:58,,1
2022/09/02 12:10:00,1,
2022/09/02 12:10:09,1,
2022/09/02 12:10:10,1,
2022/09/02 12:10:20,,1
2022/09/02 12:10:22,,1
2022/09/02 12:10:23,1,
2022/09/02 12:10:24,,1
2022/09/02 12:10:25,,1
2022/09/02 12:10:48,1,
2022/09/02 12:10:49,1,
2022/09/02 12:10:56,,1
2022/09/02 12:10:57,1,
2022/09/02 12:11:03,1,
2022/09/02 12:11:11,1,
2022/09/02 12:11:18,,1
